# timestamp tx ty tz qx qy qz qw
1741150336.836642742 353897.832860 4032261.786698 0.078878 0.0 0.0 0.0 1.0
1741150336.937484741 353897.760490 4032261.815539 0.060853 0.0 0.0 0.0 1.0
1741150337.038353443 353897.689405 4032261.844508 0.049677 0.0 0.0 0.0 1.0
1741150337.139212608 353897.628980 4032261.878231 0.046002 0.0 0.0 0.0 1.0
1741150337.240082502 353897.564656 4032261.904594 0.050779 0.0 0.0 0.0 1.0
1741150337.340921402 353897.498975 4032261.925795 0.056757 0.0 0.0 0.0 1.0
1741150337.441825390 353897.445737 4032261.937328 0.068565 0.0 0.0 0.0 1.0
1741150337.542644024 353897.386645 4032261.947048 0.080212 0.0 0.0 0.0 1.0
1741150337.643502235 353897.331837 4032261.961977 0.097639 0.0 0.0 0.0 1.0
1741150337.744381905 353897.278293 4032261.981017 0.113563 0.0 0.0 0.0 1.0
1741150337.845227718 353897.222627 4032261.999029 0.121933 0.0 0.0 0.0 1.0
1741150337.946081400 353897.172636 4032262.011269 0.121664 0.0 0.0 0.0 1.0
1741150338.046962023 353897.117025 4032262.024938 0.116255 0.0 0.0 0.0 1.0
1741150338.147822618 353897.055538 4032262.034864 0.105766 0.0 0.0 0.0 1.0
1741150338.248673201 353896.992599 4032262.041028 0.098181 0.0 0.0 0.0 1.0
1741150338.349543095 353896.925640 4032262.044373 0.097564 0.0 0.0 0.0 1.0
1741150338.450435162 353896.862470 4032262.049258 0.089624 0.0 0.0 0.0 1.0
1741150338.551255226 353896.798980 4032262.062411 0.093891 0.0 0.0 0.0 1.0
1741150338.652106285 353896.731248 4032262.082146 0.082716 0.0 0.0 0.0 1.0
1741150338.652106285 353896.731248 4032262.082146 0.082716 0.0 0.0 0.0 1.0
1741150338.853827953 353896.599064 4032262.086874 0.077526 0.0 0.0 0.0 1.0
1741150338.954689980 353896.525477 4032262.124646 0.072828 0.0 0.0 0.0 1.0
1741150339.055546284 353896.451730 4032262.147348 0.050729 0.0 0.0 0.0 1.0
1741150339.156401157 353896.380140 4032262.167918 0.051403 0.0 0.0 0.0 1.0
1741150339.156401157 353896.380140 4032262.167918 0.051403 0.0 0.0 0.0 1.0
1741150339.358124256 353896.243862 4032262.191363 0.077181 0.0 0.0 0.0 1.0
1741150339.459038258 353896.186283 4032262.228093 0.076533 0.0 0.0 0.0 1.0
1741150339.559841156 353896.130801 4032262.250520 0.080809 0.0 0.0 0.0 1.0
1741150339.660722017 353896.076029 4032262.275511 0.071583 0.0 0.0 0.0 1.0
1741150339.660722017 353896.076029 4032262.275511 0.071583 0.0 0.0 0.0 1.0
1741150339.862428188 353895.958814 4032262.288495 0.072939 0.0 0.0 0.0 1.0
1741150339.963279724 353895.899233 4032262.297343 0.050543 0.0 0.0 0.0 1.0
1741150340.064155579 353895.831334 4032262.306397 0.038052 0.0 0.0 0.0 1.0
1741150340.165102959 353895.761437 4032262.316129 0.025512 0.0 0.0 0.0 1.0
1741150340.265865803 353895.685456 4032262.315907 0.007351 0.0 0.0 0.0 1.0
1741150340.366724014 353895.604392 4032262.315205 -0.010180 0.0 0.0 0.0 1.0
1741150340.467654228 353895.519401 4032262.311477 -0.000775 0.0 0.0 0.0 1.0
1741150340.467654228 353895.519401 4032262.311477 -0.000775 0.0 0.0 0.0 1.0
1741150340.669305325 353895.383519 4032262.306404 0.000078 0.0 0.0 0.0 1.0
1741150340.770171642 353895.308810 4032262.296616 -0.013880 0.0 0.0 0.0 1.0
1741150340.871039391 353895.246620 4032262.283804 -0.028144 0.0 0.0 0.0 1.0
1741150340.971894979 353895.180153 4032262.276148 -0.045769 0.0 0.0 0.0 1.0
1741150341.072744370 353895.106323 4032262.265437 -0.063219 0.0 0.0 0.0 1.0
1741150341.173622608 353895.031205 4032262.254643 -0.067244 0.0 0.0 0.0 1.0
1741150341.274472952 353894.948736 4032262.234812 -0.090365 0.0 0.0 0.0 1.0
1741150341.375332832 353894.864915 4032262.220964 -0.108294 0.0 0.0 0.0 1.0
1741150341.476214647 353894.778901 4032262.205060 -0.109141 0.0 0.0 0.0 1.0
1741150341.577066660 353894.700703 4032262.186925 -0.111115 0.0 0.0 0.0 1.0
1741150341.677907944 353894.629749 4032262.173159 -0.108240 0.0 0.0 0.0 1.0
